id,name,set,set_name,mana_cost,colors,type,super_type,rarity
442924,"Teshar, Ancestor's Apostle",DOM,Dominaria,{3}{W},['White'],Legendary Creature — Bird Cleric,['Legendary'],Rare
442925,Tragic Poet,DOM,Dominaria,{W},['White'],Creature — Human,,Common
442926,Triumph of Gerrard,DOM,Dominaria,{1}{W},['White'],Enchantment — Saga,,Uncommon
442927,Urza's Ruinous Blast,DOM,Dominaria,{4}{W},['White'],Legendary Sorcery,['Legendary'],Rare
442928,Academy Drake,DOM,Dominaria,{2}{U},['Blue'],Creature — Drake,,Common
442929,Academy Journeymage,DOM,Dominaria,{4}{U},['Blue'],Creature — Human Wizard,,Common
442930,The Antiquities War,DOM,Dominaria,{3}{U},['Blue'],Enchantment — Saga,,Rare
442931,Arcane Flight,DOM,Dominaria,{U},['Blue'],Enchantment — Aura,,Common
442932,Artificer's Assistant,DOM,Dominaria,{U},['Blue'],Creature — Bird,,Common
442933,Befuddle,DOM,Dominaria,{2}{U},['Blue'],Instant,,Common
442934,Blink of an Eye,DOM,Dominaria,{1}{U},['Blue'],Instant,,Common
442935,Cloudreader Sphinx,DOM,Dominaria,{4}{U},['Blue'],Creature — Sphinx,,Common
442936,Cold-Water Snapper,DOM,Dominaria,{5}{U},['Blue'],Creature — Turtle,,Common
442937,Curator's Ward,DOM,Dominaria,{2}{U},['Blue'],Enchantment — Aura,,Uncommon
442938,Deep Freeze,DOM,Dominaria,{2}{U},['Blue'],Enchantment — Aura,,Common
442939,Diligent Excavator,DOM,Dominaria,{1}{U},['Blue'],Creature — Human Artificer,,Uncommon
442940,Divination,DOM,Dominaria,{2}{U},['Blue'],Sorcery,,Common
442941,Homarid Explorer,DOM,Dominaria,{3}{U},['Blue'],Creature — Homarid Scout,,Common
442942,In Bolas's Clutches,DOM,Dominaria,{4}{U}{U},['Blue'],Legendary Enchantment — Aura,['Legendary'],Uncommon
442943,Karn's Temporal Sundering,DOM,Dominaria,{4}{U}{U},['Blue'],Legendary Sorcery,['Legendary'],Rare
442944,Merfolk Trickster,DOM,Dominaria,{U}{U},['Blue'],Creature — Merfolk Wizard,,Uncommon
442945,The Mirari Conjecture,DOM,Dominaria,{4}{U},['Blue'],Enchantment — Saga,,Rare
442946,"Naban, Dean of Iteration",DOM,Dominaria,{1}{U},['Blue'],Legendary Creature — Human Wizard,['Legendary'],Rare
442947,"Naru Meha, Master Wizard",DOM,Dominaria,{2}{U}{U},['Blue'],Legendary Creature — Human Wizard,['Legendary'],Mythic Rare
442948,Opt,DOM,Dominaria,{U},['Blue'],Instant,,Common
442949,Precognition Field,DOM,Dominaria,{3}{U},['Blue'],Enchantment,,Rare
442950,Relic Runner,DOM,Dominaria,{1}{U},['Blue'],Creature — Human Rogue,,Common
442951,Rescue,DOM,Dominaria,{U},['Blue'],Instant,,Common
442952,Sage of Lat-Nam,DOM,Dominaria,{1}{U},['Blue'],Creature — Human Artificer,,Uncommon
442953,Sentinel of the Pearl Trident,DOM,Dominaria,{4}{U},['Blue'],Creature — Merfolk Soldier,,Uncommon
442954,"Slinn Voda, the Rising Deep",DOM,Dominaria,{6}{U}{U},['Blue'],Legendary Creature — Leviathan,['Legendary'],Uncommon
442955,Syncopate,DOM,Dominaria,{X}{U},['Blue'],Instant,,Common
442956,Tempest Djinn,DOM,Dominaria,{U}{U}{U},['Blue'],Creature — Djinn,,Rare
442957,"Tetsuko Umezawa, Fugitive",DOM,Dominaria,{1}{U},['Blue'],Legendary Creature — Human Rogue,['Legendary'],Uncommon
442958,Time of Ice,DOM,Dominaria,{3}{U},['Blue'],Enchantment — Saga,,Uncommon
442959,Tolarian Scholar,DOM,Dominaria,{2}{U},['Blue'],Creature — Human Wizard,,Common
442960,Unwind,DOM,Dominaria,{2}{U},['Blue'],Instant,,Common
442961,Vodalian Arcanist,DOM,Dominaria,{1}{U},['Blue'],Creature — Merfolk Wizard,,Common
442962,Weight of Memory,DOM,Dominaria,{3}{U}{U},['Blue'],Sorcery,,Uncommon
442963,Wizard's Retort,DOM,Dominaria,{1}{U}{U},['Blue'],Instant,,Uncommon
442964,"Zahid, Djinn of the Lamp",DOM,Dominaria,{4}{U}{U},['Blue'],Legendary Creature — Djinn,['Legendary'],Rare
442965,Blessing of Belzenlok,DOM,Dominaria,{B},['Black'],Instant,,Common
442966,Cabal Evangel,DOM,Dominaria,{1}{B},['Black'],Creature — Human Cleric,,Common
442967,Cabal Paladin,DOM,Dominaria,{3}{B},['Black'],Creature — Human Knight,,Common
442968,Caligo Skin-Witch,DOM,Dominaria,{1}{B},['Black'],Creature — Human Wizard,,Common
442969,Cast Down,DOM,Dominaria,{1}{B},['Black'],Instant,,Uncommon
442970,Chainer's Torment,DOM,Dominaria,{3}{B},['Black'],Enchantment — Saga,,Uncommon
442971,Dark Bargain,DOM,Dominaria,{3}{B},['Black'],Instant,,Common
442972,Deathbloom Thallid,DOM,Dominaria,{2}{B},['Black'],Creature — Fungus,,Common
442973,Demonic Vigor,DOM,Dominaria,{B},['Black'],Enchantment — Aura,,Common
442974,Demonlord Belzenlok,DOM,Dominaria,{4}{B}{B},['Black'],Legendary Creature — Elder Demon,['Legendary'],Mythic Rare
442975,Divest,DOM,Dominaria,{B},['Black'],Sorcery,,Common
442976,Dread Shade,DOM,Dominaria,{B}{B}{B},['Black'],Creature — Shade,,Rare
442977,Drudge Sentinel,DOM,Dominaria,{2}{B},['Black'],Creature — Skeleton Warrior,,Common
442978,The Eldest Reborn,DOM,Dominaria,{4}{B},['Black'],Enchantment — Saga,,Uncommon
442979,Eviscerate,DOM,Dominaria,{3}{B},['Black'],Sorcery,,Common
442980,Feral Abomination,DOM,Dominaria,{5}{B},['Black'],Creature — Thrull,,Common
442981,Final Parting,DOM,Dominaria,{3}{B}{B},['Black'],Sorcery,,Uncommon
442982,Fungal Infection,DOM,Dominaria,{B},['Black'],Instant,,Common
442983,"Josu Vess, Lich Knight",DOM,Dominaria,{2}{B}{B},['Black'],Legendary Creature — Zombie Knight,['Legendary'],Rare
442984,"Kazarov, Sengir Pureblood",DOM,Dominaria,{5}{B}{B},['Black'],Legendary Creature — Vampire,['Legendary'],Rare
442985,Knight of Malice,DOM,Dominaria,{1}{B},['Black'],Creature — Human Knight,,Uncommon
442986,Lich's Mastery,DOM,Dominaria,{3}{B}{B}{B},['Black'],Legendary Enchantment,['Legendary'],Rare
442987,Lingering Phantom,DOM,Dominaria,{5}{B},['Black'],Creature — Spirit,,Uncommon
442988,Phyrexian Scriptures,DOM,Dominaria,{2}{B}{B},['Black'],Enchantment — Saga,,Mythic Rare
442989,Rat Colony,DOM,Dominaria,{1}{B},['Black'],Creature — Rat,,Common
442990,Rite of Belzenlok,DOM,Dominaria,{2}{B}{B},['Black'],Enchantment — Saga,,Rare
442991,Settle the Score,DOM,Dominaria,{2}{B}{B},['Black'],Sorcery,,Uncommon
442992,Soul Salvage,DOM,Dominaria,{2}{B},['Black'],Sorcery,,Common
442993,Stronghold Confessor,DOM,Dominaria,{B},['Black'],Creature — Human Cleric,,Common
442994,Thallid Omnivore,DOM,Dominaria,{3}{B},['Black'],Creature — Fungus,,Common
442995,Thallid Soothsayer,DOM,Dominaria,{3}{B},['Black'],Creature — Fungus,,Uncommon
442996,"Torgaar, Famine Incarnate",DOM,Dominaria,{6}{B}{B},['Black'],Legendary Creature — Avatar,['Legendary'],Rare
442997,"Urgoros, the Empty One",DOM,Dominaria,{4}{B}{B},['Black'],Legendary Creature — Specter,['Legendary'],Uncommon
442998,Vicious Offering,DOM,Dominaria,{1}{B},['Black'],Instant,,Common
442999,"Whisper, Blood Liturgist",DOM,Dominaria,{3}{B},['Black'],Legendary Creature — Human Cleric,['Legendary'],Uncommon
443000,Windgrace Acolyte,DOM,Dominaria,{4}{B},['Black'],Creature — Cat Warrior,,Common
443001,"Yargle, Glutton of Urborg",DOM,Dominaria,{4}{B},['Black'],Legendary Creature — Frog Spirit,['Legendary'],Uncommon
443002,Yawgmoth's Vile Offering,DOM,Dominaria,{4}{B},['Black'],Legendary Sorcery,['Legendary'],Rare
443003,Bloodstone Goblin,DOM,Dominaria,{1}{R},['Red'],Creature — Goblin Warrior,,Common
443004,Champion of the Flame,DOM,Dominaria,{1}{R},['Red'],Creature — Human Warrior,,Uncommon
443005,Fervent Strike,DOM,Dominaria,{R},['Red'],Instant,,Common
443006,Fiery Intervention,DOM,Dominaria,{4}{R},['Red'],Sorcery,,Common
443007,Fight with Fire,DOM,Dominaria,{2}{R},['Red'],Sorcery,,Uncommon
443008,Fire Elemental,DOM,Dominaria,{3}{R}{R},['Red'],Creature — Elemental,,Common
443009,Firefist Adept,DOM,Dominaria,{4}{R},['Red'],Creature — Human Wizard,,Uncommon
443010,The First Eruption,DOM,Dominaria,{2}{R},['Red'],Enchantment — Saga,,Rare
443011,The Flame of Keld,DOM,Dominaria,{1}{R},['Red'],Enchantment — Saga,,Uncommon
443012,Frenzied Rage,DOM,Dominaria,{1}{R},['Red'],Enchantment — Aura,,Common
443013,Ghitu Chronicler,DOM,Dominaria,{1}{R},['Red'],Creature — Human Wizard,,Common
443014,Ghitu Journeymage,DOM,Dominaria,{2}{R},['Red'],Creature — Human Wizard,,Common
443015,Ghitu Lavarunner,DOM,Dominaria,{R},['Red'],Creature — Human Wizard,,Common
443016,Goblin Barrage,DOM,Dominaria,{3}{R},['Red'],Sorcery,,Uncommon
443017,Goblin Chainwhirler,DOM,Dominaria,{R}{R}{R},['Red'],Creature — Goblin Warrior,,Rare
443018,Goblin Warchief,DOM,Dominaria,{1}{R}{R},['Red'],Creature — Goblin Warrior,,Uncommon
443019,Haphazard Bombardment,DOM,Dominaria,{5}{R},['Red'],Enchantment,,Rare
443020,Jaya Ballard,DOM,Dominaria,{2}{R}{R}{R},['Red'],Legendary Planeswalker — Jaya,['Legendary'],Mythic Rare
443021,Jaya's Immolating Inferno,DOM,Dominaria,{X}{R}{R},['Red'],Legendary Sorcery,['Legendary'],Rare
443022,Keldon Overseer,DOM,Dominaria,{2}{R},['Red'],Creature — Human Warrior,,Common
443023,Keldon Raider,DOM,Dominaria,{2}{R}{R},['Red'],Creature — Human Warrior,,Common
443024,Keldon Warcaller,DOM,Dominaria,{1}{R},['Red'],Creature — Human Warrior,,Common
443025,Orcish Vandal,DOM,Dominaria,{1}{R},['Red'],Creature — Orc Warrior,,Uncommon
443026,Radiating Lightning,DOM,Dominaria,{3}{R},['Red'],Instant,,Common
443027,Rampaging Cyclops,DOM,Dominaria,{3}{R},['Red'],Creature — Cyclops,,Common
443028,Run Amok,DOM,Dominaria,{1}{R},['Red'],Instant,,Common
443029,Seismic Shift,DOM,Dominaria,{3}{R},['Red'],Sorcery,,Common
443030,Shivan Fire,DOM,Dominaria,{R},['Red'],Instant,,Common
443031,Siege-Gang Commander,DOM,Dominaria,{3}{R}{R},['Red'],Creature — Goblin,,Rare
443032,Skirk Prospector,DOM,Dominaria,{R},['Red'],Creature — Goblin,,Common
443033,Skizzik,DOM,Dominaria,{3}{R},['Red'],Creature — Elemental,,Uncommon
443034,"Squee, the Immortal",DOM,Dominaria,{1}{R}{R},['Red'],Legendary Creature — Goblin,['Legendary'],Rare
443035,Two-Headed Giant,DOM,Dominaria,{2}{R}{R},['Red'],Creature — Giant Warrior,,Rare
443036,"Valduk, Keeper of the Flame",DOM,Dominaria,{2}{R},['Red'],Legendary Creature — Human Shaman,['Legendary'],Uncommon
443037,Verix Bladewing,DOM,Dominaria,{2}{R}{R},['Red'],Legendary Creature — Dragon,['Legendary'],Mythic Rare
443038,Warcry Phoenix,DOM,Dominaria,{3}{R},['Red'],Creature — Phoenix,,Uncommon
443039,Warlord's Fury,DOM,Dominaria,{R},['Red'],Sorcery,,Common
443040,Wizard's Lightning,DOM,Dominaria,{2}{R},['Red'],Instant,,Uncommon
443041,Adventurous Impulse,DOM,Dominaria,{G},['Green'],Sorcery,,Common
443042,Ancient Animus,DOM,Dominaria,{1}{G},['Green'],Instant,,Common
443043,Arbor Armament,DOM,Dominaria,{G},['Green'],Instant,,Common
443044,Baloth Gorger,DOM,Dominaria,{2}{G}{G},['Green'],Creature — Beast,,Common
443045,Broken Bond,DOM,Dominaria,{1}{G},['Green'],Sorcery,,Common
443046,Corrosive Ooze,DOM,Dominaria,{1}{G},['Green'],Creature — Ooze,,Common
443047,Elfhame Druid,DOM,Dominaria,{1}{G},['Green'],Creature — Elf Druid,,Uncommon
443048,Fungal Plots,DOM,Dominaria,{1}{G},['Green'],Enchantment,,Uncommon
443049,Gaea's Blessing,DOM,Dominaria,{1}{G},['Green'],Sorcery,,Uncommon
443050,Gaea's Protector,DOM,Dominaria,{3}{G},['Green'],Creature — Elemental Warrior,,Common
443051,Gift of Growth,DOM,Dominaria,{1}{G},['Green'],Instant,,Common
443052,Grow from the Ashes,DOM,Dominaria,{2}{G},['Green'],Sorcery,,Common
443053,"Grunn, the Lonely King",DOM,Dominaria,{4}{G}{G},['Green'],Legendary Creature — Ape Warrior,['Legendary'],Uncommon
443054,Kamahl's Druidic Vow,DOM,Dominaria,{X}{G}{G},['Green'],Legendary Sorcery,['Legendary'],Rare
443055,Krosan Druid,DOM,Dominaria,{2}{G},['Green'],Creature — Centaur Druid,,Common
443056,Llanowar Elves,DOM,Dominaria,{G},['Green'],Creature — Elf Druid,,Common
443057,Llanowar Envoy,DOM,Dominaria,{2}{G},['Green'],Creature — Elf Scout,,Common
443058,Llanowar Scout,DOM,Dominaria,{1}{G},['Green'],Creature — Elf Scout,,Common
443059,Mammoth Spider,DOM,Dominaria,{4}{G},['Green'],Creature — Spider,,Common
443060,"Marwyn, the Nurturer",DOM,Dominaria,{2}{G},['Green'],Legendary Creature — Elf Druid,['Legendary'],Rare
443061,The Mending of Dominaria,DOM,Dominaria,{3}{G}{G},['Green'],Enchantment — Saga,,Rare
443062,"Multani, Yavimaya's Avatar",DOM,Dominaria,{4}{G}{G},['Green'],Legendary Creature — Elemental Avatar,['Legendary'],Mythic Rare
443063,Nature's Spiral,DOM,Dominaria,{1}{G},['Green'],Sorcery,,Uncommon
443064,Pierce the Sky,DOM,Dominaria,{1}{G},['Green'],Instant,,Common
443065,Primordial Wurm,DOM,Dominaria,{4}{G}{G},['Green'],Creature — Wurm,,Common
443066,Saproling Migration,DOM,Dominaria,{1}{G},['Green'],Sorcery,,Common
443067,Song of Freyalise,DOM,Dominaria,{1}{G},['Green'],Enchantment — Saga,,Uncommon
443068,Spore Swarm,DOM,Dominaria,{3}{G},['Green'],Instant,,Uncommon
443069,Sporecrown Thallid,DOM,Dominaria,{1}{G},['Green'],Creature — Fungus,,Uncommon
443070,Steel Leaf Champion,DOM,Dominaria,{G}{G}{G},['Green'],Creature — Elf Knight,,Rare
443071,Sylvan Awakening,DOM,Dominaria,{2}{G},['Green'],Sorcery,,Rare
443072,Territorial Allosaurus,DOM,Dominaria,{2}{G}{G},['Green'],Creature — Dinosaur,,Rare
443073,Thorn Elemental,DOM,Dominaria,{5}{G}{G},['Green'],Creature — Elemental,,Uncommon
443074,Untamed Kavu,DOM,Dominaria,{1}{G},['Green'],Creature — Kavu,,Uncommon
443075,Verdant Force,DOM,Dominaria,{5}{G}{G}{G},['Green'],Creature — Elemental,,Rare
443076,Wild Onslaught,DOM,Dominaria,{3}{G},['Green'],Instant,,Uncommon
443077,Yavimaya Sapherd,DOM,Dominaria,{2}{G},['Green'],Creature — Fungus,,Common
443078,"Adeliz, the Cinder Wind",DOM,Dominaria,{1}{U}{R},"['Blue', 'Red']",Legendary Creature — Human Wizard,['Legendary'],Uncommon
443079,Arvad the Cursed,DOM,Dominaria,{3}{W}{B},"['White', 'Black']",Legendary Creature — Vampire Knight,['Legendary'],Uncommon
443080,"Aryel, Knight of Windgrace",DOM,Dominaria,{2}{W}{B},"['White', 'Black']",Legendary Creature — Human Knight,['Legendary'],Rare
443081,Darigaaz Reincarnated,DOM,Dominaria,{4}{B}{R}{G},"['Black', 'Red', 'Green']",Legendary Creature — Dragon,['Legendary'],Mythic Rare
443082,"Garna, the Bloodflame",DOM,Dominaria,{3}{B}{R},"['Black', 'Red']",Legendary Creature — Human Warrior,['Legendary'],Uncommon
443083,Grand Warlord Radha,DOM,Dominaria,{2}{R}{G},"['Red', 'Green']",Legendary Creature — Elf Warrior,['Legendary'],Rare
443084,"Hallar, the Firefletcher",DOM,Dominaria,{1}{R}{G},"['Red', 'Green']",Legendary Creature — Elf Archer,['Legendary'],Uncommon
443085,"Jhoira, Weatherlight Captain",DOM,Dominaria,{2}{U}{R},"['Blue', 'Red']",Legendary Creature — Human Artificer,['Legendary'],Mythic Rare
443086,"Jodah, Archmage Eternal",DOM,Dominaria,{1}{U}{R}{W},"['White', 'Blue', 'Red']",Legendary Creature — Human Wizard,['Legendary'],Rare
443087,"Muldrotha, the Gravetide",DOM,Dominaria,{3}{B}{G}{U},"['Blue', 'Black', 'Green']",Legendary Creature — Elemental Avatar,['Legendary'],Mythic Rare
443088,Oath of Teferi,DOM,Dominaria,{3}{W}{U},"['White', 'Blue']",Legendary Enchantment,['Legendary'],Rare
443089,Primevals' Glorious Rebirth,DOM,Dominaria,{5}{W}{B},"['White', 'Black']",Legendary Sorcery,['Legendary'],Rare
443090,"Raff Capashen, Ship's Mage",DOM,Dominaria,{2}{W}{U},"['White', 'Blue']",Legendary Creature — Human Wizard,['Legendary'],Uncommon
443091,"Rona, Disciple of Gix",DOM,Dominaria,{1}{U}{B},"['Blue', 'Black']",Legendary Creature — Human Artificer,['Legendary'],Uncommon
443092,"Shanna, Sisay's Legacy",DOM,Dominaria,{G}{W},"['White', 'Green']",Legendary Creature — Human Warrior,['Legendary'],Uncommon
443093,"Slimefoot, the Stowaway",DOM,Dominaria,{1}{B}{G},"['Black', 'Green']",Legendary Creature — Fungus,['Legendary'],Uncommon
443094,"Tatyova, Benthic Druid",DOM,Dominaria,{3}{G}{U},"['Blue', 'Green']",Legendary Creature — Merfolk Druid,['Legendary'],Uncommon
443095,"Teferi, Hero of Dominaria",DOM,Dominaria,{3}{W}{U},"['White', 'Blue']",Legendary Planeswalker — Teferi,['Legendary'],Mythic Rare
443096,"Tiana, Ship's Caretaker",DOM,Dominaria,{3}{R}{W},"['White', 'Red']",Legendary Creature — Angel Artificer,['Legendary'],Uncommon
443097,Aesthir Glider,DOM,Dominaria,{3},,Artifact Creature — Bird Construct,,Common
443098,Amaranthine Wall,DOM,Dominaria,{4},,Artifact Creature — Wall,,Uncommon
443099,Blackblade Reforged,DOM,Dominaria,{2},,Legendary Artifact — Equipment,['Legendary'],Rare
443100,Bloodtallow Candle,DOM,Dominaria,{1},,Artifact,,Common
443101,Damping Sphere,DOM,Dominaria,{2},,Artifact,,Uncommon
443102,Forebear's Blade,DOM,Dominaria,{3},,Artifact — Equipment,,Rare
443103,Gilded Lotus,DOM,Dominaria,{5},,Artifact,,Rare
443104,Guardians of Koilos,DOM,Dominaria,{5},,Artifact Creature — Construct,,Common
443105,Helm of the Host,DOM,Dominaria,{4},,Legendary Artifact — Equipment,['Legendary'],Rare
443106,Howling Golem,DOM,Dominaria,{3},,Artifact Creature — Golem,,Uncommon
443107,Icy Manipulator,DOM,Dominaria,{4},,Artifact,,Uncommon
443108,Jhoira's Familiar,DOM,Dominaria,{4},,Artifact Creature — Bird,,Uncommon
443109,Jousting Lance,DOM,Dominaria,{2},,Artifact — Equipment,,Common
443110,Juggernaut,DOM,Dominaria,{4},,Artifact Creature — Juggernaut,,Uncommon
443111,Mishra's Self-Replicator,DOM,Dominaria,{5},,Artifact Creature — Assembly-Worker,,Rare
443112,Mox Amber,DOM,Dominaria,{0},,Legendary Artifact,['Legendary'],Mythic Rare
443113,Navigator's Compass,DOM,Dominaria,{1},,Artifact,,Common
443114,Pardic Wanderer,DOM,Dominaria,{6},,Artifact Creature — Golem,,Common
443115,Powerstone Shard,DOM,Dominaria,{3},,Artifact,,Common
443116,Shield of the Realm,DOM,Dominaria,{2},,Artifact — Equipment,,Uncommon
443117,Short Sword,DOM,Dominaria,{1},,Artifact — Equipment,,Common
443118,Skittering Surveyor,DOM,Dominaria,{3},,Artifact Creature — Construct,,Common
443119,Sorcerer's Wand,DOM,Dominaria,{1},,Artifact — Equipment,,Uncommon
443120,Sparring Construct,DOM,Dominaria,{1},,Artifact Creature — Construct,,Common
443121,Thran Temporal Gateway,DOM,Dominaria,{4},,Legendary Artifact,['Legendary'],Rare
443122,"Traxos, Scourge of Kroog",DOM,Dominaria,{4},,Legendary Artifact Creature — Construct,['Legendary'],Rare
443123,Urza's Tome,DOM,Dominaria,{2},,Artifact,,Uncommon
443124,Voltaic Servant,DOM,Dominaria,{2},,Artifact Creature — Construct,,Common
443125,Weatherlight,DOM,Dominaria,{4},,Legendary Artifact — Vehicle,['Legendary'],Mythic Rare
443126,Cabal Stronghold,DOM,Dominaria,,,Land,,Rare
443127,Clifftop Retreat,DOM,Dominaria,,,Land,,Rare
443128,Hinterland Harbor,DOM,Dominaria,,,Land,,Rare
443129,Isolated Chapel,DOM,Dominaria,,,Land,,Rare
443130,Memorial to Folly,DOM,Dominaria,,,Land,,Uncommon
443131,Memorial to Genius,DOM,Dominaria,,,Land,,Uncommon
443132,Memorial to Glory,DOM,Dominaria,,,Land,,Uncommon
443133,Memorial to Unity,DOM,Dominaria,,,Land,,Uncommon
443134,Memorial to War,DOM,Dominaria,,,Land,,Uncommon
443135,Sulfur Falls,DOM,Dominaria,,,Land,,Rare
443136,Woodland Cemetery,DOM,Dominaria,,,Land,,Rare
443137,Zhalfirin Void,DOM,Dominaria,,,Land,,Uncommon
443138,Plains,DOM,Dominaria,,,Basic Land — Plains,['Basic'],Basic Land
443139,Plains,DOM,Dominaria,,,Basic Land — Plains,['Basic'],Basic Land
443140,Plains,DOM,Dominaria,,,Basic Land — Plains,['Basic'],Basic Land
443141,Plains,DOM,Dominaria,,,Basic Land — Plains,['Basic'],Basic Land
443142,Island,DOM,Dominaria,,,Basic Land — Island,['Basic'],Basic Land
443143,Island,DOM,Dominaria,,,Basic Land — Island,['Basic'],Basic Land
443144,Island,DOM,Dominaria,,,Basic Land — Island,['Basic'],Basic Land
443145,Island,DOM,Dominaria,,,Basic Land — Island,['Basic'],Basic Land
443146,Swamp,DOM,Dominaria,,,Basic Land — Swamp,['Basic'],Basic Land
443147,Swamp,DOM,Dominaria,,,Basic Land — Swamp,['Basic'],Basic Land
443148,Swamp,DOM,Dominaria,,,Basic Land — Swamp,['Basic'],Basic Land
443149,Swamp,DOM,Dominaria,,,Basic Land — Swamp,['Basic'],Basic Land
443150,Mountain,DOM,Dominaria,,,Basic Land — Mountain,['Basic'],Basic Land
443151,Mountain,DOM,Dominaria,,,Basic Land — Mountain,['Basic'],Basic Land
443152,Mountain,DOM,Dominaria,,,Basic Land — Mountain,['Basic'],Basic Land
443153,Mountain,DOM,Dominaria,,,Basic Land — Mountain,['Basic'],Basic Land
443154,Forest,DOM,Dominaria,,,Basic Land — Forest,['Basic'],Basic Land
443155,Forest,DOM,Dominaria,,,Basic Land — Forest,['Basic'],Basic Land
443156,Forest,DOM,Dominaria,,,Basic Land — Forest,['Basic'],Basic Land
443157,Forest,DOM,Dominaria,,,Basic Land — Forest,['Basic'],Basic Land
445848,"Teferi, Timebender",DOM,Dominaria,{4}{W}{U},"['White', 'Blue']",Legendary Planeswalker — Teferi,['Legendary'],Mythic Rare
445849,Temporal Machinations,DOM,Dominaria,{2}{U},['Blue'],Sorcery,,Common
445850,"Niambi, Faithful Healer",DOM,Dominaria,{1}{W}{U},"['White', 'Blue']",Legendary Creature — Human Cleric,['Legendary'],Rare
445851,Teferi's Sentinel,DOM,Dominaria,{5},,Artifact Creature — Golem,,Uncommon
445852,Meandering River,DOM,Dominaria,,,Land,,Common
445853,"Chandra, Bold Pyromancer",DOM,Dominaria,{4}{R}{R},['Red'],Legendary Planeswalker — Chandra,['Legendary'],Mythic Rare
445854,Chandra's Outburst,DOM,Dominaria,{3}{R}{R},['Red'],Sorcery,,Rare
445855,Karplusan Hound,DOM,Dominaria,{3}{R},['Red'],Creature — Hound,,Uncommon
445856,Pyromantic Pilgrim,DOM,Dominaria,{2}{R},['Red'],Creature — Human Wizard,,Common
445857,Timber Gorge,DOM,Dominaria,,,Land,,Common
445958,Firesong and Sunspeaker,DOM,Dominaria,{4}{R}{W},"['White', 'Red']",Legendary Creature — Minotaur Cleric,['Legendary'],Rare
447049,Mu Yanling,GS1,Global Series: Jiang Yanggu and Mu Yanling,{4}{U}{U},['Blue'],Legendary Planeswalker — Yanling,['Legendary'],Mythic Rare
447050,Colorful Feiyi Sparrow,GS1,Global Series: Jiang Yanggu and Mu Yanling,{1}{W},['White'],Creature — Bird,,Common
447051,Purple-Crystal Crab,GS1,Global Series: Jiang Yanggu and Mu Yanling,{1}{U},['Blue'],Creature — Crab,,Common
447052,Vivid Flying Fish,GS1,Global Series: Jiang Yanggu and Mu Yanling,{1}{U},['Blue'],Creature — Fish Lizard,,Common
447053,Welkin Tern,GS1,Global Series: Jiang Yanggu and Mu Yanling,{1}{U},['Blue'],Creature — Bird,,Common
447054,Heavenly Qilin,GS1,Global Series: Jiang Yanggu and Mu Yanling,{2}{W},['White'],Creature — Kirin,,Common
447055,Armored Whirl Turtle,GS1,Global Series: Jiang Yanggu and Mu Yanling,{2}{U},['Blue'],Creature — Turtle,,Common
447056,Nine-Tail White Fox,GS1,Global Series: Jiang Yanggu and Mu Yanling,{2}{U},['Blue'],Creature — Fox Spirit,,Common
447057,Earth-Origin Yak,GS1,Global Series: Jiang Yanggu and Mu Yanling,{3}{W},['White'],Creature — Ox,,Common
447058,Moon-Eating Dog,GS1,Global Series: Jiang Yanggu and Mu Yanling,{3}{U},['Blue'],Creature — Hound,,Uncommon
447059,Stormcloud Spirit,GS1,Global Series: Jiang Yanggu and Mu Yanling,{3}{U}{U},['Blue'],Creature — Spirit,,Uncommon
447060,Ancestor Dragon,GS1,Global Series: Jiang Yanggu and Mu Yanling,{4}{W}{W},['White'],Creature — Dragon,,Rare
447061,Cloak of Mists,GS1,Global Series: Jiang Yanggu and Mu Yanling,{1}{U},['Blue'],Enchantment — Aura,,Common
447062,Qilin's Blessing,GS1,Global Series: Jiang Yanggu and Mu Yanling,{W},['White'],Instant,,Common
447063,Drown in Shapelessness,GS1,Global Series: Jiang Yanggu and Mu Yanling,{1}{U},['Blue'],Instant,,Common
447064,Dragon's Presence,GS1,Global Series: Jiang Yanggu and Mu Yanling,{2}{W},['White'],Instant,,Common
447065,Brilliant Plan,GS1,Global Series: Jiang Yanggu and Mu Yanling,{4}{U},['Blue'],Sorcery,,Uncommon
447066,Rhythmic Water Vortex,GS1,Global Series: Jiang Yanggu and Mu Yanling,{3}{U}{U},['Blue'],Sorcery,,Rare
447067,Meandering River,GS1,Global Series: Jiang Yanggu and Mu Yanling,,,Land,,Common
447068,Plains,GS1,Global Series: Jiang Yanggu and Mu Yanling,,,Basic Land — Plains,['Basic'],Basic Land
447069,Island,GS1,Global Series: Jiang Yanggu and Mu Yanling,,,Basic Land — Island,['Basic'],Basic Land
447070,Jiang Yanggu,GS1,Global Series: Jiang Yanggu and Mu Yanling,{4}{G},['Green'],Legendary Planeswalker — Yanggu,['Legendary'],Mythic Rare
447071,Leopard-Spotted Jiao,GS1,Global Series: Jiang Yanggu and Mu Yanling,{1}{R},['Red'],Creature — Beast,,Common
447072,Feiyi Snake,GS1,Global Series: Jiang Yanggu and Mu Yanling,{1}{G},['Green'],Creature — Snake,,Common
447073,Sacred White Deer,GS1,Global Series: Jiang Yanggu and Mu Yanling,{1}{G},['Green'],Creature — Elk,,Uncommon
447074,Reckless Pangolin,GS1,Global Series: Jiang Yanggu and Mu Yanling,{2}{G},['Green'],Creature — Pangolin,,Common
